Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20132030,Vic,5,2013,Wednesday,5:59,Multiple,No,No,No,60,Motorcycle rider,Male,27,No,No,26_to_39,Weekday,Night
20062191,Vic,4,2006,Friday,15:40,Multiple,No,No,Yes,100,Passenger,Male,42,No,No,40_to_64,Weekday,Day
20171043,NSW,12,2017,Saturday,14:30,Single,No,No,No,100,Motorcycle rider,Male,26,Yes,No,26_to_39,Weekend,Day
20192054,Vic,5,2019,Saturday,12:30,Single,No,No,No,80,Motorcycle rider,Male,58,No,No,40_to_64,Weekend,Day
20033095,Qld,3,2003,Sunday,15:00,Multiple,No,No,No,60,Driver,Male,78,No,No,75_or_older,Weekend,Day
20031236,NSW,6,2003,Wednesday,22:19,Single,No,No,No,80,Driver,Male,29,No,No,26_to_39,Weekday,Night
20173216,Qld,12,2017,Saturday,21:00,Single,No,No,No,70,Driver,Male,19,No,No,17_to_25,Weekend,Night
20106027,Tas,12,2010,Wednesday,7:30,Multiple,No,No,Yes,100,Driver,Male,24,No,No,17_to_25,Weekday,Day
19922006,Vic,12,1992,Wednesday,13:20,Multiple,No,No,No,60,Passenger,Male,28,Yes,No,26_to_39,Weekday,Day
20031463,NSW,3,2003,Saturday,13:50,Multiple,No,No,No,60,Passenger,Female,78,No,No,75_or_older,Weekend,Day
20182183,Vic,7,2018,Monday,23:49,Single,No,No,No,60,Driver,Male,23,No,No,17_to_25,Weekday,Night
20053039,Qld,9,2005,Wednesday,3:00,Single,No,No,Yes,100,Driver,Male,52,No,No,40_to_64,Weekday,Night
19922173,Vic,8,1992,Tuesday,0:20,Single,No,No,No,100,Driver,Female,21,No,No,17_to_25,Weekday,Night
19902140,Vic,1,1990,Friday,13:50,Single,No,No,No,60,Driver,Male,29,No,No,26_to_39,Weekday,Day
20216026,Tas,5,2021,Saturday,0:27,Single,No,No,No,50,Driver,Male,24,No,No,17_to_25,Weekend,Night
20055149,WA,3,2005,Thursday,20:45,Multiple,No,No,No,60,Motorcycle rider,Male,20,No,No,17_to_25,Weekday,Night
20031209,NSW,12,2003,Saturday,14:55,Multiple,No,No,No,100,Passenger,Female,25,No,No,17_to_25,Weekend,Day
